Temperature,Humidity,AQI,TimeOfDay,Mood,Occasion,PreferredType,Perfume
34,51,185,Afternoon,Energetic,Gym,Minty,Power Mint
31,60,198,Afternoon,Energetic,Gym,Minty,Power Mint
31,59,219,Afternoon,Energetic,Gym,Minty,Cool Mint
35,90,90,Evening,Romantic,Date,Sweet,Rose Essence
23,53,130,Evening,Romantic,Date,Sweet,Cherry Blossom
32,88,250,Afternoon,Energetic,Gym,Minty,Cool Mint
34,48,59,Evening,Romantic,Date,Sweet,Rose Essence
21,84,233,Afternoon,Energetic,Gym,Minty,Mint Blast
34,60,243,Afternoon,Energetic,Gym,Minty,Cool Mint
29,80,59,Evening,Romantic,Date,Sweet,Vanilla Touch
38,51,165,Morning,Calm,Home,Floral,Lily Fresh
36,72,123,Evening,Romantic,Date,Sweet,Vanilla Touch
20,59,84,Morning,Calm,Home,Floral,Lavender Bliss
28,49,116,Afternoon,Fresh,Office,Citrus,Lemon Fresh
21,87,65,Afternoon,Fresh,Office,Citrus,Orange Zest
26,81,80,Afternoon,Fresh,Office,Citrus,Lemon Zing
35,86,53,Afternoon,Fresh,Office,Citrus,Lemon Fresh
26,68,114,Evening,Romantic,Date,Sweet,Vanilla Touch
30,57,150,Afternoon,Fresh,Office,Citrus,Orange Zest
24,47,96,Evening,Romantic,Date,Sweet,Vanilla Touch
36,54,248,Afternoon,Energetic,Gym,Minty,Cool Mint
23,79,76,Evening,Romantic,Date,Sweet,Rose Essence
28,72,127,Morning,Calm,Home,Floral,Jasmine Bloom
37,60,212,Afternoon,Energetic,Gym,Minty,Fresh Mint
36,72,202,Afternoon,Energetic,Gym,Minty,Power Mint
21,79,114,Evening,Romantic,Date,Sweet,Cherry Blossom
35,77,108,Morning,Calm,Home,Floral,Rose Garden
28,55,120,Afternoon,Fresh,Office,Citrus,Lemon Zing
25,61,246,Afternoon,Energetic,Gym,Minty,Fresh Mint
31,72,250,Afternoon,Energetic,Gym,Minty,Mint Blast
27,80,202,Afternoon,Energetic,Gym,Minty,Power Mint
26,61,190,Afternoon,Energetic,Gym,Minty,Ice Mint
26,69,97,Evening,Romantic,Date,Sweet,Cherry Blossom
27,57,133,Afternoon,Fresh,Office,Citrus,Lemon Zing
38,63,162,Afternoon,Fresh,Office,Citrus,Lemon Fresh
21,84,148,Evening,Romantic,Date,Sweet,Vanilla Touch
32,76,104,Morning,Calm,Home,Floral,Lavender Bliss
34,46,97,Evening,Romantic,Date,Sweet,Rose Essence
34,49,171,Afternoon,Energetic,Gym,Minty,Mint Blast
23,60,109,Afternoon,Fresh,Office,Citrus,Orange Zest
38,73,219,Afternoon,Energetic,Gym,Minty,Fresh Mint
20,63,102,Morning,Calm,Home,Floral,Lily Fresh
30,51,56,Afternoon,Fresh,Office,Citrus,Orange Zest
32,48,203,Afternoon,Energetic,Gym,Minty,Power Mint
29,73,222,Afternoon,Energetic,Gym,Minty,Fresh Mint
33,82,232,Afternoon,Energetic,Gym,Minty,Mint Blast
36,71,247,Afternoon,Energetic,Gym,Minty,Fresh Mint
38,85,59,Morning,Calm,Home,Floral,Rose Garden
38,46,114,Afternoon,Fresh,Office,Citrus,Lemon Zing
34,64,167,Evening,Romantic,Date,Sweet,Sweet Musk
20,63,157,Afternoon,Fresh,Office,Citrus,Orange Zest
22,67,214,Afternoon,Energetic,Gym,Minty,Fresh Mint
29,79,50,Evening,Romantic,Date,Sweet,Vanilla Touch
29,55,62,Morning,Calm,Home,Floral,Jasmine Bloom
21,69,65,Evening,Romantic,Date,Sweet,Sweet Musk
36,45,66,Evening,Romantic,Date,Sweet,Vanilla Touch
29,45,146,Afternoon,Fresh,Office,Citrus,Lemon Fresh
36,84,130,Evening,Romantic,Date,Sweet,Sweet Musk
31,51,181,Afternoon,Energetic,Gym,Minty,Mint Blast
34,83,238,Afternoon,Energetic,Gym,Minty,Mint Blast
22,76,152,Afternoon,Fresh,Office,Citrus,Orange Zest
25,66,109,Afternoon,Fresh,Office,Citrus,Citrus Splash
20,77,167,Morning,Calm,Home,Floral,Jasmine Bloom
24,81,232,Afternoon,Energetic,Gym,Minty,Fresh Mint
21,63,153,Morning,Calm,Home,Floral,Lily Fresh
38,57,136,Evening,Romantic,Date,Sweet,Sweet Musk
35,75,107,Afternoon,Fresh,Office,Citrus,Orange Zest
20,73,169,Afternoon,Fresh,Office,Citrus,Lemon Zing
26,85,226,Afternoon,Energetic,Gym,Minty,Fresh Mint
32,49,178,Afternoon,Energetic,Gym,Minty,Cool Mint
